t l_Lp l_Lp_1 l_Lp_2 l_Lda l_Lda_1 l_Lda_2 l_awake l_asleep l_Lda_adv
2505.0 100.0 100.0 100.0 102.0 102.0 102.0 75.0 0.0 102.0
2520.0 101.0 101.0 101.0 103.0 103.0 103.0 75.0 0.0 104.0
2535.0 101.0 101.0 101.0 106.0 106.0 106.0 75.0 0.0 106.0
2550.0 101.0 101.0 101.0 106.0 106.0 106.0 75.0 0.0 107.0
2565.0 101.0 101.0 101.0 106.0 106.0 106.0 75.0 0.0 108.0
2580.0 106.0 106.0 106.0 107.0 107.0 107.0 75.0 0.0 108.0
2595.0 106.0 106.0 106.0 109.0 109.0 109.0 75.0 0.0 110.0
2610.0 106.0 106.0 106.0 111.0 111.0 111.0 75.0 0.0 111.0
2625.0 106.0 106.0 106.0 112.0 112.0 112.0 75.0 0.0 112.0
2640.0 106.0 106.0 106.0 113.0 113.0 113.0 75.0 0.0 113.0
2655.0 106.0 106.0 106.0 113.0 113.0 113.0 75.0 0.0 113.0
2670.0 113.0 113.0 113.0 114.0 114.0 114.0 75.0 0.0 114.0
2685.0 114.0 114.0 114.0 116.0 116.0 116.0 75.0 0.0 117.0
2700.0 116.0 116.0 116.0 118.0 118.0 118.0 75.0 0.0 118.0
2715.0 117.0 117.0 117.0 118.0 118.0 118.0 75.0 0.0 118.0
2730.0 118.0 118.0 118.0 119.0 119.0 119.0 75.0 0.0 120.0
2745.0 119.0 119.0 119.0 120.0 120.0 120.0 75.0 0.0 120.0
2760.0 120.0 120.0 120.0 120.0 120.0 120.0 75.0 0.0 120.0
2775.0 120.0 120.0 120.0 120.0 120.0 120.0 75.0 0.0 120.0
2790.0 120.0 120.0 120.0 122.0 122.0 122.0 75.0 0.0 122.0
2805.0 120.0 120.0 120.0 124.0 124.0 124.0 75.0 0.0 124.0
2820.0 123.0 123.0 123.0 126.0 126.0 126.0 75.0 0.0 126.0
2835.0 124.0 124.0 124.0 126.0 126.0 126.0 75.0 0.0 127.0
2850.0 126.0 126.0 126.0 128.0 128.0 128.0 75.0 0.0 129.0
2865.0 126.0 126.0 126.0 129.0 129.0 129.0 75.0 0.0 130.0
2880.0 126.0 126.0 126.0 132.0 132.0 132.0 75.0 0.0 132.0
2895.0 126.0 126.0 126.0 133.0 133.0 133.0 75.0 0.0 133.0
2910.0 126.0 126.0 126.0 134.0 134.0 134.0 75.0 0.0 134.0
2925.0 134.0 134.0 134.0 134.0 134.0 134.0 75.0 0.0 134.0
